eval,pooled,static,passed,obj,x0,x1,x2,x3
70,44.0930,44.4110,1,44.0930,1.28494,0.05104,0.41875,0.18297
71,42.9410,43.3620,1,42.9410,1.54396,0.17736,0.19201,0.40150
72,42.9020,42.4700,0,-57.0980,1.45739,0.26412,1.48602,-0.02599
73,42.9530,44.4740,1,42.9530,2.00178,-0.04773,1.01787,-0.06960
74,44.5080,44.2420,1,44.5080,0.69011,0.05110,0.53504,0.01179
75,43.0670,38.8670,0,-56.9330,0.43130,0.43175,0.72461,0.25189
76,42.4570,42.4250,0,-57.5430,2.01433,0.26102,0.57895,0.42453
77,42.9870,37.9680,0,-57.0130,1.00948,0.51158,0.97116,0.22584
78,43.5400,44.7690,1,43.5400,1.17408,-0.13297,0.41761,0.30713
79,43.1440,40.0140,0,-56.8560,1.66520,0.45985,0.11116,0.28867
80,39.3940,40.3340,0,-60.6060,1.16867,0.40043,1.49723,0.48635
81,43.2980,37.5350,0,-56.7020,0.60105,0.50369,0.46618,-0.04809
82,43.3230,43.7570,1,43.3230,1.61914,0.13344,0.10567,-0.15717
83,42.7250,43.6870,1,42.7250,1.43787,0.15384,1.05971,0.35728
84,43.2050,44.2520,1,43.2050,2.66372,-0.10186,0.20336,-0.01023
85,42.2980,44.3060,1,42.2980,1.97140,0.02085,1.36060,-0.15253
86,42.5420,40.8930,0,-57.4580,1.18799,0.37353,1.49794,-0.06363
87,43.9740,40.0360,0,-56.0260,1.81641,0.46110,0.20272,0.02638
88,44.1000,44.3830,1,44.1000,0.47160,0.02337,0.28434,0.19860
89,43.8820,44.7020,1,43.8820,1.33867,-0.02266,1.00756,0.05125
90,42.8880,44.5930,1,42.8880,2.17979,-0.14041,0.25340,0.26960
91,43.5190,44.6310,1,43.5190,1.34607,-0.00750,0.12637,0.30585
92,43.1880,43.3230,1,43.1880,1.27570,0.17767,0.68265,0.35911
93,43.1210,44.1620,1,43.1210,1.93097,0.05061,0.69407,-0.10980
94,44.2890,44.1440,1,44.2890,0.59789,0.05344,0.12203,0.15913
95,44.4820,43.8890,1,44.4820,0.93466,0.09177,0.27321,0.02131
96,42.4230,43.6390,1,42.4230,1.08127,0.14960,1.34709,0.34193
97,43.8650,39.2000,0,-56.1350,0.97494,0.43470,0.67839,0.02306
98,43.4660,42.7470,0,-56.5340,1.02445,0.22331,0.71942,-0.09347
99,42.8400,40.4090,0,-57.1600,1.69393,0.41485,1.47648,0.15212
100,43.1730,39.5950,0,-56.8270,0.79613,0.40944,0.59997,0.28355
101,42.1910,43.4520,1,42.1910,2.51474,0.13660,1.10946,0.34511
102,43.5910,44.2260,1,43.5910,1.81147,0.05282,0.12768,0.25774
103,44.3330,43.2750,1,44.3330,1.76473,0.18254,0.55428,0.04837
104,44.2510,42.4700,0,-55.7490,1.45739,0.26412,0.62071,0.01599
105,44.0960,44.0130,1,44.0960,0.58016,0.06454,0.91984,0.10325
106,43.9920,41.9130,0,-56.0080,2.13700,0.30617,0.21776,0.01179
107,43.6720,41.7660,0,-56.3280,0.43130,0.21734,0.71613,0.25189
108,42.7140,44.7030,1,42.7140,1.67502,-0.12486,1.45202,0.19251
109,43.3660,40.4600,0,-56.6340,0.65280,0.34149,1.11307,0.08168
110,43.0040,44.8550,1,43.0040,0.93330,-0.02106,0.41761,-0.17723
111,43.7200,40.9570,0,-56.2800,1.66520,0.37947,0.58642,-0.04251
112,43.2970,44.5050,1,43.2970,2.03413,-0.07823,1.00846,0.16410
113,44.1440,40.9630,0,-55.8560,0.60105,0.30826,0.18080,0.05658
114,44.3300,44.7500,1,44.3300,0.86640,-0.00625,0.43547,0.14739
115,44.3900,42.7040,0,-55.6100,1.08485,0.24132,0.12677,0.06382
116,42.3060,43.8440,1,42.3060,1.43172,0.11240,1.49394,0.29798
117,44.1720,40.8840,0,-55.8280,0.81623,0.33758,0.24153,0.05925
118,43.6050,43.9780,1,43.6050,1.79744,0.09078,1.07467,0.03560
119,43.6600,40.0360,0,-56.3400,1.81641,0.46110,0.87998,0.07194
