eval,pooled,static,passed,obj,x0,x1,x2,x3,x4,x5,x6,x7
217,43.9460,42.6760,0,-56.0540,1.29461,0.25331,-0.00856,-0.15147,0.32569,0.19294,0.58022,-0.44109
218,43.8170,42.4120,0,-56.1830,1.06808,0.28552,-0.87261,0.71145,0.24429,0.21339,-0.87762,0.30019
219,43.5700,37.9720,0,-56.4300,1.01838,0.48496,-0.84038,-0.57799,0.22374,0.02664,0.48929,0.41634
220,44.5180,44.0390,1,44.5180,0.70943,0.05358,0.84761,-0.19377,0.26901,0.08793,0.11464,0.22688
221,43.7570,42.0520,0,-56.2430,1.49361,0.26390,0.37876,-0.99528,0.33587,0.21670,0.72362,0.16392
222,44.4680,44.5800,1,44.4680,0.72629,0.01878,0.06940,0.35998,0.14721,0.09535,0.48913,-0.47084
223,43.9990,42.1800,0,-56.0010,1.54912,0.29625,-0.10557,-0.24268,0.15196,0.18502,0.41784,0.24021
224,43.2590,40.9840,0,-56.7410,1.13449,0.31705,0.55547,-0.70528,0.78590,-0.06858,-0.09618,-0.05659
225,43.9260,43.7240,1,43.9260,1.76677,0.11521,-0.30428,0.96882,0.46372,-0.02553,-0.34003,-0.39967
226,43.9770,41.7530,0,-56.0230,1.18031,0.32662,-0.82363,-0.38543,0.62822,0.11775,-0.95666,0.67166
227,41.6430,44.6210,1,41.6430,1.39212,-0.01600,-0.04970,0.55134,0.10087,0.44725,0.93888,-0.84577
228,43.6370,42.9240,0,-56.3630,1.30626,0.22902,-0.38592,0.44156,0.76232,-0.02245,0.00523,0.39883
229,43.6860,44.5750,1,43.6860,1.80831,-0.01919,0.43583,-0.51525,0.56793,0.27811,-0.75348,-0.48852
230,42.3250,42.3210,0,-57.6750,2.94758,0.21578,0.09997,0.99501,0.49177,-0.19891,0.48676,-0.49530
231,43.8990,44.6200,1,43.8990,1.25724,-0.00623,-0.56435,0.24789,0.47587,-0.07368,0.22976,-0.17961
232,44.4630,44.7290,1,44.4630,1.54701,-0.03193,0.52852,0.01317,0.58346,0.10300,-0.93964,-0.39265
233,43.2240,42.0700,0,-56.7760,2.36610,0.27404,0.51651,0.78774,0.42383,0.16839,0.90809,-0.98510
234,44.0830,40.8760,0,-55.9170,0.31991,0.31732,-0.63890,0.60354,0.34173,-0.02278,0.04842,-0.11178
235,44.4350,43.0480,0,-55.5650,0.32030,0.06819,0.80256,-0.93778,0.49609,-0.00227,0.37459,-0.35243
236,43.0370,43.6830,1,43.0370,0.37746,0.06592,0.93102,0.22260,0.37794,-0.19108,-0.12933,-0.44301
237,43.5730,43.5560,1,43.5730,1.43084,0.15965,0.07250,-0.27786,0.29834,-0.11663,-0.76501,-0.29143
238,44.3790,44.2190,1,44.3790,1.74476,0.05881,0.28608,-0.60317,0.35056,0.11755,0.16339,0.15107
239,44.3070,41.9910,0,-55.6930,0.47050,0.19462,0.36326,-0.27561,0.61455,0.01763,-0.16645,-0.23739
240,43.6330,42.8170,0,-56.3670,1.65339,0.23337,0.16007,0.37968,0.97166,-0.03916,0.40940,-0.56025
