eval,pooled,static,passed,obj,x0,x1,x2,x3,x4,x5,x6,x7
45,43.2620,42.5790,0,-56.7380,0.97481,0.22484,-0.25601,-0.22117,0.12782,0.31886,0.92304,-0.20895
46,44.0470,41.1480,0,-55.9530,0.43255,0.28518,0.49158,-0.10503,0.42490,-0.05832,-0.41932,-0.81221
47,42.6660,40.5800,0,-57.3340,2.93489,0.42209,0.64667,0.64469,1.40559,0.07426,0.08540,0.04002
48,44.0380,39.3560,0,-55.9620,1.01747,0.42976,0.37942,0.03394,0.23234,-0.02303,0.52827,-0.62157
49,44.2940,42.5750,0,-55.7060,1.04284,0.19882,0.61919,-0.59186,0.63983,0.02076,-0.87693,-0.53405
50,43.9320,41.9010,0,-56.0680,0.61293,0.20232,-0.42014,-0.67109,0.79326,-0.00346,-0.78712,-0.74623
51,41.9550,36.3100,0,-58.0450,0.95308,0.58179,-0.88833,0.33357,0.60347,-0.15180,0.56840,0.79598
52,44.3790,43.1880,0,-55.6210,0.77780,0.12440,0.13522,-0.41166,0.48961,0.12698,-0.84887,-0.30768
53,44.4630,42.8340,0,-55.5370,1.01242,0.22343,-0.42491,0.23905,0.73939,0.07311,-0.30484,-0.95810
54,44.1200,40.5110,0,-55.8800,0.99674,0.38394,0.17678,0.02796,0.24428,-0.00133,-0.43553,-0.51192
55,43.0660,44.1440,1,43.0660,2.61783,-0.01009,0.98360,0.30037,1.03956,0.14630,0.76756,-0.57657
56,44.0670,44.7810,1,44.0670,0.65807,-0.05493,0.45883,-0.28017,1.03601,0.00653,0.37388,-0.81129
57,42.6820,38.5270,0,-57.3180,1.08138,0.45663,0.97552,-0.90854,1.34231,0.08862,0.12886,-0.54406
58,43.1260,42.1860,0,-56.8740,1.68675,0.29889,-0.65161,-0.59748,0.15488,-0.16630,-0.97812,-0.49475
59,43.5310,43.3090,1,43.5310,0.96034,0.17408,-0.26334,0.80685,0.94796,0.23868,0.10765,0.98635
60,42.3520,40.9030,0,-57.6480,2.76357,0.37906,0.31721,0.56612,1.40260,-0.02036,0.65409,-0.04654
61,42.9950,42.4570,0,-57.0050,1.47545,0.25856,0.85564,0.45421,1.21364,-0.09811,0.59519,0.91101
62,43.9840,41.2690,0,-56.0160,0.52728,0.25760,0.15864,-0.17312,0.40484,0.16491,-0.32085,-0.16028
63,43.2300,39.7660,0,-56.7700,2.00855,0.49923,-0.86109,0.15892,0.27627,0.22445,-0.13971,0.00828
64,39.3120,39.8500,0,-60.6880,1.74418,0.47606,0.64810,0.06637,1.25724,0.40899,0.88621,-0.57740
