[2026-03-15 08:24:18,868][train.py][INFO] Start training!
[2026-03-15 08:24:43,829][train.py][INFO] Epoch:[100/140] [99/237] Loss:0.51200
[2026-03-15 08:25:08,381][train.py][INFO] Epoch:[100/140] [199/237] Loss:0.13239
[2026-03-15 08:25:17,506][train.py][INFO] motion_gate: 0.0456 (sigmoid=0.511396)
[2026-03-15 08:25:42,283][train.py][INFO] Epoch:[101/140] [99/237] Loss:0.32963
[2026-03-15 08:26:06,846][train.py][INFO] Epoch:[101/140] [199/237] Loss:0.18864
[2026-03-15 08:26:15,972][train.py][INFO] motion_gate: 0.0990 (sigmoid=0.524730)
[2026-03-15 08:26:40,756][train.py][INFO] Epoch:[102/140] [99/237] Loss:0.23823
[2026-03-15 08:27:05,326][train.py][INFO] Epoch:[102/140] [199/237] Loss:0.26461
[2026-03-15 08:27:13,516][train.py][INFO] motion_gate: 0.1020 (sigmoid=0.525468)
[2026-03-15 08:27:34,872][train.py][INFO] Epoch:[103/140] [99/237] Loss:0.11638
[2026-03-15 08:27:55,937][train.py][INFO] Epoch:[103/140] [199/237] Loss:0.43556
[2026-03-15 08:28:03,739][train.py][INFO] motion_gate: 0.1348 (sigmoid=0.533661)
[2026-03-15 08:28:24,999][train.py][INFO] Epoch:[104/140] [99/237] Loss:0.16754
[2026-03-15 08:28:46,047][train.py][INFO] Epoch:[104/140] [199/237] Loss:0.11316
[2026-03-15 08:28:53,847][train.py][INFO] motion_gate: 0.1486 (sigmoid=0.537072)
[2026-03-15 08:29:15,105][train.py][INFO] Epoch:[105/140] [99/237] Loss:0.07682
[2026-03-15 08:29:36,146][train.py][INFO] Epoch:[105/140] [199/237] Loss:0.62375
[2026-03-15 08:29:43,936][train.py][INFO] motion_gate: 0.1523 (sigmoid=0.538001)
[2026-03-15 08:30:05,188][train.py][INFO] Epoch:[106/140] [99/237] Loss:0.10597
[2026-03-15 08:30:26,223][train.py][INFO] Epoch:[106/140] [199/237] Loss:0.10982
[2026-03-15 08:30:34,018][train.py][INFO] motion_gate: 0.1921 (sigmoid=0.547881)
[2026-03-15 08:30:55,245][train.py][INFO] Epoch:[107/140] [99/237] Loss:0.16598
[2026-03-15 08:31:16,263][train.py][INFO] Epoch:[107/140] [199/237] Loss:0.04966
[2026-03-15 08:31:24,036][train.py][INFO] motion_gate: 0.2281 (sigmoid=0.556790)
[2026-03-15 08:31:45,282][train.py][INFO] Epoch:[108/140] [99/237] Loss:0.13355
[2026-03-15 08:32:06,256][train.py][INFO] Epoch:[108/140] [199/237] Loss:0.20055
[2026-03-15 08:32:14,058][train.py][INFO] motion_gate: 0.2541 (sigmoid=0.563193)
[2026-03-15 08:32:35,347][train.py][INFO] Epoch:[109/140] [99/237] Loss:0.60862
[2026-03-15 08:32:56,370][train.py][INFO] Epoch:[109/140] [199/237] Loss:0.32577
[2026-03-15 08:33:04,167][train.py][INFO] motion_gate: 0.2789 (sigmoid=0.569275)
[2026-03-15 08:33:26,535][train.py][INFO] Epoch:[110/140] [99/237] Loss:0.26229
[2026-03-15 08:33:47,641][train.py][INFO] Epoch:[110/140] [199/237] Loss:0.13001
[2026-03-15 08:33:55,456][train.py][INFO] motion_gate: 0.2771 (sigmoid=0.568846)
[2026-03-15 08:34:16,705][train.py][INFO] Epoch:[111/140] [99/237] Loss:0.10064
[2026-03-15 08:34:37,758][train.py][INFO] Epoch:[111/140] [199/237] Loss:0.08155
[2026-03-15 08:34:45,556][train.py][INFO] motion_gate: 0.2858 (sigmoid=0.570960)
[2026-03-15 08:35:06,836][train.py][INFO] Epoch:[112/140] [99/237] Loss:0.05865
[2026-03-15 08:35:27,873][train.py][INFO] Epoch:[112/140] [199/237] Loss:0.37754
[2026-03-15 08:35:35,684][train.py][INFO] motion_gate: 0.2897 (sigmoid=0.571926)
[2026-03-15 08:35:56,955][train.py][INFO] Epoch:[113/140] [99/237] Loss:0.09938
[2026-03-15 08:36:18,006][train.py][INFO] Epoch:[113/140] [199/237] Loss:0.22937
[2026-03-15 08:36:25,808][train.py][INFO] motion_gate: 0.2960 (sigmoid=0.573477)
[2026-03-15 08:36:47,105][train.py][INFO] Epoch:[114/140] [99/237] Loss:0.07382
[2026-03-15 08:37:08,164][train.py][INFO] Epoch:[114/140] [199/237] Loss:0.33984
[2026-03-15 08:37:15,955][train.py][INFO] motion_gate: 0.3071 (sigmoid=0.576170)
[2026-03-15 08:37:37,229][train.py][INFO] Epoch:[115/140] [99/237] Loss:0.06416
[2026-03-15 08:37:58,317][train.py][INFO] Epoch:[115/140] [199/237] Loss:0.26945
[2026-03-15 08:38:06,134][train.py][INFO] motion_gate: 0.3039 (sigmoid=0.575406)
[2026-03-15 08:38:27,390][train.py][INFO] Epoch:[116/140] [99/237] Loss:0.56632
[2026-03-15 08:38:48,456][train.py][INFO] Epoch:[116/140] [199/237] Loss:0.49096
[2026-03-15 08:38:56,266][train.py][INFO] motion_gate: 0.3033 (sigmoid=0.575247)
[2026-03-15 08:39:17,541][train.py][INFO] Epoch:[117/140] [99/237] Loss:0.12356
[2026-03-15 08:39:38,592][train.py][INFO] Epoch:[117/140] [199/237] Loss:0.07272
[2026-03-15 08:39:46,412][train.py][INFO] motion_gate: 0.3056 (sigmoid=0.575811)
[2026-03-15 08:40:07,656][train.py][INFO] Epoch:[118/140] [99/237] Loss:0.05118
[2026-03-15 08:40:28,728][train.py][INFO] Epoch:[118/140] [199/237] Loss:0.15619
[2026-03-15 08:40:36,542][train.py][INFO] motion_gate: 0.3048 (sigmoid=0.575616)
[2026-03-15 08:40:57,812][train.py][INFO] Epoch:[119/140] [99/237] Loss:0.10361
[2026-03-15 08:41:18,869][train.py][INFO] Epoch:[119/140] [199/237] Loss:0.14963
[2026-03-15 08:41:26,694][train.py][INFO] motion_gate: 0.3094 (sigmoid=0.576741)
[2026-03-15 08:41:48,903][train.py][INFO] Epoch:[120/140] [99/237] Loss:0.06921
[2026-03-15 08:42:09,970][train.py][INFO] Epoch:[120/140] [199/237] Loss:0.17025
[2026-03-15 08:42:17,781][train.py][INFO] motion_gate: 0.3179 (sigmoid=0.578811)
[2026-03-15 08:42:39,039][train.py][INFO] Epoch:[121/140] [99/237] Loss:0.12477
[2026-03-15 08:43:00,072][train.py][INFO] Epoch:[121/140] [199/237] Loss:0.51168
[2026-03-15 08:43:07,883][train.py][INFO] motion_gate: 0.3269 (sigmoid=0.581004)
[2026-03-15 08:43:29,150][train.py][INFO] Epoch:[122/140] [99/237] Loss:0.25833
[2026-03-15 08:43:50,213][train.py][INFO] Epoch:[122/140] [199/237] Loss:0.11199
[2026-03-15 08:43:58,032][train.py][INFO] motion_gate: 0.3338 (sigmoid=0.582692)
[2026-03-15 08:44:19,285][train.py][INFO] Epoch:[123/140] [99/237] Loss:0.14860
[2026-03-15 08:44:40,341][train.py][INFO] Epoch:[123/140] [199/237] Loss:0.18209
[2026-03-15 08:44:48,137][train.py][INFO] motion_gate: 0.3194 (sigmoid=0.579181)
[2026-03-15 08:45:09,427][train.py][INFO] Epoch:[124/140] [99/237] Loss:0.04907
[2026-03-15 08:45:30,504][train.py][INFO] Epoch:[124/140] [199/237] Loss:0.13962
[2026-03-15 08:45:38,312][train.py][INFO] motion_gate: 0.3389 (sigmoid=0.583913)
[2026-03-15 08:45:59,603][train.py][INFO] Epoch:[125/140] [99/237] Loss:0.09385
[2026-03-15 08:46:20,659][train.py][INFO] Epoch:[125/140] [199/237] Loss:0.04957
[2026-03-15 08:46:28,483][train.py][INFO] motion_gate: 0.3587 (sigmoid=0.588722)
[2026-03-15 08:46:49,750][train.py][INFO] Epoch:[126/140] [99/237] Loss:0.06376
[2026-03-15 08:47:10,829][train.py][INFO] Epoch:[126/140] [199/237] Loss:0.16985
[2026-03-15 08:47:18,637][train.py][INFO] motion_gate: 0.3602 (sigmoid=0.589088)
[2026-03-15 08:47:39,936][train.py][INFO] Epoch:[127/140] [99/237] Loss:0.05655
[2026-03-15 08:48:00,989][train.py][INFO] Epoch:[127/140] [199/237] Loss:0.05201
[2026-03-15 08:48:08,812][train.py][INFO] motion_gate: 0.3366 (sigmoid=0.583370)
[2026-03-15 08:48:30,068][train.py][INFO] Epoch:[128/140] [99/237] Loss:0.21639
[2026-03-15 08:48:51,118][train.py][INFO] Epoch:[128/140] [199/237] Loss:0.37921
[2026-03-15 08:48:58,928][train.py][INFO] motion_gate: 0.3522 (sigmoid=0.587143)
[2026-03-15 08:49:20,198][train.py][INFO] Epoch:[129/140] [99/237] Loss:0.25480
[2026-03-15 08:49:41,239][train.py][INFO] Epoch:[129/140] [199/237] Loss:0.29823
[2026-03-15 08:49:49,052][train.py][INFO] motion_gate: 0.3633 (sigmoid=0.589840)
[2026-03-15 08:50:11,147][train.py][INFO] Epoch:[130/140] [99/237] Loss:0.10526
[2026-03-15 08:50:32,232][train.py][INFO] Epoch:[130/140] [199/237] Loss:0.05687
[2026-03-15 08:50:40,029][train.py][INFO] motion_gate: 0.3710 (sigmoid=0.591699)
[2026-03-15 08:51:01,277][train.py][INFO] Epoch:[131/140] [99/237] Loss:0.06683
[2026-03-15 08:51:22,376][train.py][INFO] Epoch:[131/140] [199/237] Loss:0.10268
[2026-03-15 08:51:30,166][train.py][INFO] motion_gate: 0.3731 (sigmoid=0.592217)
