[2026-03-14 22:24:39,818][train.py][INFO] Start training!
[2026-03-14 22:25:01,227][train.py][INFO] Epoch:[100/140] [99/237] Loss:0.25115
[2026-03-14 22:25:22,289][train.py][INFO] Epoch:[100/140] [199/237] Loss:0.15365
[2026-03-14 22:25:30,102][train.py][INFO] motion_gate: -1.9976 (sigmoid=0.119457)
[2026-03-14 22:25:51,400][train.py][INFO] Epoch:[101/140] [99/237] Loss:0.16135
[2026-03-14 22:26:12,510][train.py][INFO] Epoch:[101/140] [199/237] Loss:0.21784
[2026-03-14 22:26:20,355][train.py][INFO] motion_gate: -1.9702 (sigmoid=0.122363)
[2026-03-14 22:26:41,678][train.py][INFO] Epoch:[102/140] [99/237] Loss:0.38775
[2026-03-14 22:27:02,815][train.py][INFO] Epoch:[102/140] [199/237] Loss:0.21936
[2026-03-14 22:27:10,663][train.py][INFO] motion_gate: -1.9352 (sigmoid=0.126180)
[2026-03-14 22:27:31,992][train.py][INFO] Epoch:[103/140] [99/237] Loss:0.08091
[2026-03-14 22:27:53,147][train.py][INFO] Epoch:[103/140] [199/237] Loss:0.39561
[2026-03-14 22:28:00,982][train.py][INFO] motion_gate: -1.9118 (sigmoid=0.128775)
[2026-03-14 22:28:22,305][train.py][INFO] Epoch:[104/140] [99/237] Loss:0.13804
[2026-03-14 22:28:43,455][train.py][INFO] Epoch:[104/140] [199/237] Loss:0.07023
[2026-03-14 22:28:51,292][train.py][INFO] motion_gate: -1.8978 (sigmoid=0.130353)
[2026-03-14 22:29:12,676][train.py][INFO] Epoch:[105/140] [99/237] Loss:0.07792
[2026-03-14 22:29:33,809][train.py][INFO] Epoch:[105/140] [199/237] Loss:0.52119
[2026-03-14 22:29:41,644][train.py][INFO] motion_gate: -1.8889 (sigmoid=0.131371)
[2026-03-14 22:30:02,974][train.py][INFO] Epoch:[106/140] [99/237] Loss:0.07102
[2026-03-14 22:30:24,116][train.py][INFO] Epoch:[106/140] [199/237] Loss:0.11994
[2026-03-14 22:30:31,964][train.py][INFO] motion_gate: -1.8825 (sigmoid=0.132103)
[2026-03-14 22:30:53,315][train.py][INFO] Epoch:[107/140] [99/237] Loss:0.13414
[2026-03-14 22:31:14,449][train.py][INFO] Epoch:[107/140] [199/237] Loss:0.07159
[2026-03-14 22:31:22,292][train.py][INFO] motion_gate: -1.8788 (sigmoid=0.132529)
[2026-03-14 22:31:43,611][train.py][INFO] Epoch:[108/140] [99/237] Loss:0.08820
[2026-03-14 22:32:04,759][train.py][INFO] Epoch:[108/140] [199/237] Loss:0.13707
[2026-03-14 22:32:12,603][train.py][INFO] motion_gate: -1.8753 (sigmoid=0.132928)
[2026-03-14 22:32:33,938][train.py][INFO] Epoch:[109/140] [99/237] Loss:0.08459
[2026-03-14 22:32:55,074][train.py][INFO] Epoch:[109/140] [199/237] Loss:0.23206
[2026-03-14 22:33:02,916][train.py][INFO] motion_gate: -1.8735 (sigmoid=0.133136)
[2026-03-14 22:33:24,962][train.py][INFO] Epoch:[110/140] [99/237] Loss:0.14077
[2026-03-14 22:33:46,105][train.py][INFO] Epoch:[110/140] [199/237] Loss:0.11141
[2026-03-14 22:33:53,936][train.py][INFO] motion_gate: -1.8734 (sigmoid=0.133146)
[2026-03-14 22:34:15,265][train.py][INFO] Epoch:[111/140] [99/237] Loss:0.20490
[2026-03-14 22:34:36,401][train.py][INFO] Epoch:[111/140] [199/237] Loss:0.09026
[2026-03-14 22:34:44,232][train.py][INFO] motion_gate: -1.8716 (sigmoid=0.133360)
[2026-03-14 22:35:05,564][train.py][INFO] Epoch:[112/140] [99/237] Loss:0.07315
[2026-03-14 22:35:26,709][train.py][INFO] Epoch:[112/140] [199/237] Loss:0.45075
[2026-03-14 22:35:34,540][train.py][INFO] motion_gate: -1.8716 (sigmoid=0.133352)
[2026-03-14 22:35:55,889][train.py][INFO] Epoch:[113/140] [99/237] Loss:0.09712
[2026-03-14 22:36:17,028][train.py][INFO] Epoch:[113/140] [199/237] Loss:0.19712
[2026-03-14 22:36:24,857][train.py][INFO] motion_gate: -1.8718 (sigmoid=0.133337)
